year,month,headline,body,hash,region,full_text,crypto_focused,ner_co_name,company_url,name,website_url,linkedin_url,twitter_url,facebook_url,founded_year,crunchbase_url,keywords,estimated_num_employees,industries,city,state,annual_revenue,total_funding,total_funding_printed,latest_funding_round_date,latest_funding_stage,departmental_head_count
2024,February,full stack | 100% REMOTE (global) |  https://benaco.com,"Founder-owned, bootstrapped Computer Vision startup.Benaco creates high-quality 3D models out of photo and laser data. We bring photorealistic digital twins into browsers to save our customers on-site visits, from real estate to hazardous environments such as chemistry parks and nuclear waste cleanup sites.Examples: https://benaco.com/go/example-real-estate https://benaco.com/go/example-church https://benaco.com/go/example-industrialTasks:  * Computer Vision + Graphics, photogrammetry

  * Implementing academic papers

  * Browser frontend, web server

  * Low-level performance optimisations, dev tooling

  * Distributed systems, reliability engineering, server ops

  * B2B sales, customer interaction



For this role we're especially looking for a good communicator who enjoys talking to our customers and helps us build the features they need.Tech:  Haskell, C++, CUDA, Python with types

  TypeScript, React, WebGL, Linux, Postgres, Ceph, Nix



We're a small, high-efficiency company. We value operational excellence and low overheads.More details, open-source contributions, contact, on: https://discourse.haskell.org/t/benaco-offering-remote-engin...Please mention you came from HN so we know where it's worth posting :)",-8306082765309431215,unknown,"full stack | 100% remote (global) |  https://benaco.com
founder-owned, bootstrapped computer vision startup.benaco creates high-quality 3d models out of photo and laser data. we bring photorealistic digital twins into browsers to save our customers on-site visits, from real estate to hazardous environments such as chemistry parks and nuclear waste cleanup sites.examples: https://benaco.com/go/example-real-estate https://benaco.com/go/example-church https://benaco.com/go/example-industrialtasks:  * computer vision + graphics, photogrammetry

  * implementing academic papers

  * browser frontend, web server

  * low-level performance optimisations, dev tooling

  * distributed systems, reliability engineering, server ops

  * b2b sales, customer interaction



for this role we're especially looking for a good communicator who enjoys talking to our customers and helps us build the features they need.tech:  haskell, c++, cuda, python with types

  typescript, react, webgl, linux, postgres, ceph, nix



we're a small, high-efficiency company. we value operational excellence and low overheads.more details, open-source contributions, contact, on: https://discourse.haskell.org/t/benaco-offering-remote-engin...please mention you came from hn so we know where it's worth posting :)",False,Benaco,benaco.com,Benaco,http://www.benaco.com,http://www.linkedin.com/company/benaco,,,2015.0,,[],2.0,['information technology & services'],London,England,,,,,,"{'entrepreneurship': 1, 'sales': 1, 'accounting': 0, 'operations': 0, 'finance': 0, 'marketing': 0, 'human_resources': 0, 'information_technology': 0, 'legal': 0, 'engineering': 0, 'business_development': 0, 'product_management': 0, 'consulting': 0, 'education': 0, 'administrative': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'support': 0, 'data_science': 0}"
2024,February,"Engineers, SREs, Managers | REMOTE | Full-time |  https://grafana.com/about/careers/open-positions/","We make that dashboard thing you've all seen... we also make and operate massively scalable distributed databases for various telemetry, do lots of OSS things (+1K Github repos!), and having become the leader at observability in general we're now focusing on things like application observability, correlating data / exemplars, and creating new and easier ways to explore observability data... also, those huge massively distributed databases :)We have been hiring constantly, and mostly struggle to keep our Greenhouse page up to date.In my team alone (I'm VP, Engineering for the databases Mimir, Loki, Tempo, Pyroscope) I need 2 EMs (1 in Europe, 1 in the USA/Canada or Europe), an SRE in the USA/Canada, an SRE in Europe, an Engineer for Mimir in the US/Canada, and a couple of EU engineers for Loki. Those are just my team, but lots of teams are hiring. Additionally we will continually open roles throughout the year.Grafana team really would like a Principal Engineer who knows distributed systems and databases built on object storage... we have lots of expertise here throughout the company, we just need more people who can ramp up fast :DThe greenhouse page works, but if you don't see something I've mentioned feel free to email (in profile).",2962066017529026300,unknown,"engineers, sres, managers | remote | full-time |  https://grafana.com/about/careers/open-positions/
we make that dashboard thing you've all seen... we also make and operate massively scalable distributed databases for various telemetry, do lots of oss things (+1k github repos!), and having become the leader at observability in general we're now focusing on things like application observability, correlating data / exemplars, and creating new and easier ways to explore observability data... also, those huge massively distributed databases :)we have been hiring constantly, and mostly struggle to keep our greenhouse page up to date.in my team alone (i'm vp, engineering for the databases mimir, loki, tempo, pyroscope) i need 2 ems (1 in europe, 1 in the usa/canada or europe), an sre in the usa/canada, an sre in europe, an engineer for mimir in the us/canada, and a couple of eu engineers for loki. those are just my team, but lots of teams are hiring. additionally we will continually open roles throughout the year.grafana team really would like a principal engineer who knows distributed systems and databases built on object storage... we have lots of expertise here throughout the company, we just need more people who can ramp up fast :dthe greenhouse page works, but if you don't see something i've mentioned feel free to email (in profile).",False,Grafana Labs,grafana.com,Grafana Labs,http://www.grafana.com,http://www.linkedin.com/company/grafana-labs,http://twitter.com/@raintanksaas,https://www.facebook.com/raintanksaas/,2014.0,,"['it management', 'open source', 'open data', 'infrastructure monitoring', 'software', 'information technology', 'monitoring', 'observability', 'dashboards']",1300.0,"['information technology & services', 'computer software']",New York,New York,300000000.0,535230000.0,535.2M,2022-04-01T00:00:00.000+00:00,Series D,"{'engineering': 589, 'legal': 10, 'accounting': 13, 'marketing': 27, 'finance': 13, 'sales': 184, 'education': 59, 'arts_and_design': 25, 'operations': 43, 'product_management': 20, 'support': 93, 'human_resources': 15, 'business_development': 19, 'information_technology': 12, 'media_and_commmunication': 3, 'data_science': 1, 'administrative': 1, 'entrepreneurship': 3, 'consulting': 0}"
2024,February,"Principle Data Engineer| On-Site Eindhoven, Netherlands – Hybrid","At Datenna, we merge China expertise with groundbreaking technology, creating a unique software platform that empowers governments with unparalleled insights into China's techno-economic landscape.

We are looking for Principal Data Engineer who will spearhead the design and implementation of our next-generation OSINT engine and the underlying data processing and storage infrastructure.Read more: https://jobs.datenna.com/o/lead-data-engineerFor all vacancies: https://jobs.datenna.com/vacancies",-7145363631299459567,europe,"principle data engineer| on-site eindhoven, netherlands – hybrid
at datenna, we merge china expertise with groundbreaking technology, creating a unique software platform that empowers governments with unparalleled insights into china's techno-economic landscape.

we are looking for principal data engineer who will spearhead the design and implementation of our next-generation osint engine and the underlying data processing and storage infrastructure.read more: https://jobs.datenna.com/o/lead-data-engineerfor all vacancies: https://jobs.datenna.com/vacancies",False,Datenna,datenna.com,Datenna,http://www.datenna.com,http://www.linkedin.com/company/datenna,http://twitter.com/@datenna,,2017.0,,"['saas', 'artificial intelligence', 'data mining', 'data visualization', 'enterprise software', 'deep information technology', 'software', 'information technology', 'china', 'china economic intelligence', 'osint', 'ai', 'technoeconomic intelligence', 'data engineering', 'economic', 'national security']",62.0,"['information services', 'information technology & services', 'computer software']",Eindhoven,North Brabant,2300000.0,,,,,"{'operations': 3, 'engineering': 12, 'education': 1, 'human_resources': 2, 'finance': 1, 'business_development': 2, 'data_science': 7, 'entrepreneurship': 3, 'sales': 1, 'arts_and_design': 2, 'media_and_commmunication': 1, 'marketing': 3, 'information_technology': 1, 'consulting': 1, 'support': 1, 'accounting': 0, 'legal': 0, 'product_management': 0, 'administrative': 0}"
2024,February,"Various platform engineering and service delivery roles | ONSITE at various UK locations (London, Paisley, Manchester) or REMOTE UK, requires UK RTW and Residency (non-negotiable even if you’re remote) | Full-time |  https://careers.redcross.org.uk/","Since 1870, the British Red Cross has been helping people in crisis, whoever and wherever they are, as part of the world’s largest humanitarian network. We're looking for technologists who want to use their skills to help people in crisis. We currently have 4 roles live with several more to come in the coming monthsLive now:-Senior Software Developer

-Platform Operations Manager

-Cyber Security Manager

-Application Development ManagerUpcoming:-Operations Engineers

-Software Engineers

-Service Designers

-Front End Engineers

-Delivery and Engineering ManagersSome of our benefits:-True Flexible working (flexi hours / days / compression / location)

-36 days annual leave plus the chance to purchase 5 extra days leave 

-Maternity, paternity, adoption, shared parental and careers leave

-Pension schemeIf we don’t have a role which suits you today, please keep an eye on the jobs page above or DM me on LinkedIn @globalgoat. You can read more about us and our culture here https://medium.com/digital-and-innovation-at-british-red-cro...",5466143020933528470,europe,"various platform engineering and service delivery roles | onsite at various uk locations (london, paisley, manchester) or remote uk, requires uk rtw and residency (non-negotiable even if you’re remote) | full-time |  https://careers.redcross.org.uk/
since 1870, the british red cross has been helping people in crisis, whoever and wherever they are, as part of the world’s largest humanitarian network. we're looking for technologists who want to use their skills to help people in crisis. we currently have 4 roles live with several more to come in the coming monthslive now:-senior software developer

-platform operations manager

-cyber security manager

-application development managerupcoming:-operations engineers

-software engineers

-service designers

-front end engineers

-delivery and engineering managerssome of our benefits:-true flexible working (flexi hours / days / compression / location)

-36 days annual leave plus the chance to purchase 5 extra days leave 

-maternity, paternity, adoption, shared parental and careers leave

-pension schemeif we don’t have a role which suits you today, please keep an eye on the jobs page above or dm me on linkedin @globalgoat. you can read more about us and our culture here https://medium.com/digital-and-innovation-at-british-red-cro...",False,British Red Cross,redcross.org.uk,British Red Cross,http://www.redcross.org.uk,http://www.linkedin.com/company/british-red-cross,https://twitter.com/britishredcross,https://www.facebook.com/BritishRedCross/,1870.0,,"['charity', 'ngo', 'nonprofit', 'humanitarian aid', 'first aid', 'emergency response', 'health & social care', 'refugee support', 'community service/non-profit', 'fashion', 'local services', 'shopping', 'thrift stores', 'used, vintage & consignment']",4400.0,"['civic & social organization', 'consumer services']",London,England,273118000.0,,,,,"{'media_and_commmunication': 64, 'product_management': 9, 'business_development': 80, 'administrative': 73, 'support': 402, 'information_technology': 43, 'finance': 49, 'consulting': 17, 'operations': 92, 'arts_and_design': 16, 'engineering': 20, 'data_science': 14, 'marketing': 65, 'human_resources': 58, 'sales': 62, 'accounting': 15, 'education': 10, 'legal': 3, 'entrepreneurship': 1}"
2024,February,Gauntlet - Financial modeling for DeFi,"Gauntlet’s mission is to drive adoption and understanding of the financial systems of the future. Gauntlet is the platform for off-chain intelligence that drives on-chain efficiency in Decentralized Finance (DeFi). We work with protocols to manage risk, improve capital efficiency, and manage incentive spend. We also publish cutting-edge research and aim to take a leading role in defining market risk standards across the industry.Remote US & CAN / NYC / SFO / LAVisa holders are welcome!We are looking for 

- Data Scientists

- Software Engineering folks 

- Data and quant-inclined professionalsHow to get in touch!

Our website - https://www.gauntlet.xyz/ 

Twitter - https://twitter.com/gauntlet_xyz 

LinkedIn - https://www.linkedin.com/company/gauntlet-xyz/Ping us on our Twitter handle @gauntlet_xyz to find out more!",-3633351228814436449,unknown,"gauntlet - financial modeling for defi
gauntlet’s mission is to drive adoption and understanding of the financial systems of the future. gauntlet is the platform for off-chain intelligence that drives on-chain efficiency in decentralized finance (defi). we work with protocols to manage risk, improve capital efficiency, and manage incentive spend. we also publish cutting-edge research and aim to take a leading role in defining market risk standards across the industry.remote us & can / nyc / sfo / lavisa holders are welcome!we are looking for 

- data scientists

- software engineering folks 

- data and quant-inclined professionalshow to get in touch!

our website - https://www.gauntlet.xyz/ 

twitter - https://twitter.com/gauntlet_xyz 

linkedin - https://www.linkedin.com/company/gauntlet-xyz/ping us on our twitter handle @gauntlet_xyz to find out more!",True,Gauntlet,gauntlet.xyz,Gauntlet,http://www.gauntlet.xyz,http://www.linkedin.com/company/gauntlet-xyz,https://twitter.com/gauntlet_xyz,,2018.0,,"['cryptocurrency', 'data science', 'simulation engineering', 'blockchain', 'ethereum', 'smart contracts', 'solidity', 'distributed computation', 'defi', 'decentralized finance', 'rust', 'crypto']",64.0,['information technology & services'],New York,New York,8000000.0,41872267.0,41.9M,2023-04-01T00:00:00.000+00:00,Other,"{'finance': 3, 'engineering': 22, 'product_management': 4, 'legal': 1, 'administrative': 1, 'business_development': 1, 'data_science': 9, 'entrepreneurship': 3, 'marketing': 1, 'consulting': 1, 'accounting': 1, 'human_resources': 2, 'operations': 1, 'information_technology': 1, 'sales': 0, 'education': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'support': 0}"
2024,February,TypeScript / Next.js / DevOps (k8s) | REMOTE (UK) | Full-time |  £30K to £60K |  https://urlbox.com,"Urlbox helps web developers render the web with precision. We've been focused on generating screenshots, images and PDFs from HTML or URLs for over a decade. Our customers include over 500 design or compliance led organisations. They depend on us to get the intricacies of browser rendering right so they can focus on their core products and services.We're bootstrapped, profitable and ready to add a third full-time engineer to our team. Our stack is primarily TypeScript. It's a bonus if you're also interested in learning how to orchestrate and scale headless browsers on our Kubernetes clusters. There's also opportunities to create/maintain libraries and SDK's in a range of other languages.We're excited to hear from people early in their tech career as well as more experienced folk.Read more: https://urlbox.com/jobs/typescript-developer",3743172364588480449,europe,"typescript / next.js / devops (k8s) | remote (uk) | full-time |  £30k to £60k |  https://urlbox.com
urlbox helps web developers render the web with precision. we've been focused on generating screenshots, images and pdfs from html or urls for over a decade. our customers include over 500 design or compliance led organisations. they depend on us to get the intricacies of browser rendering right so they can focus on their core products and services.we're bootstrapped, profitable and ready to add a third full-time engineer to our team. our stack is primarily typescript. it's a bonus if you're also interested in learning how to orchestrate and scale headless browsers on our kubernetes clusters. there's also opportunities to create/maintain libraries and sdk's in a range of other languages.we're excited to hear from people early in their tech career as well as more experienced folk.read more: https://urlbox.com/jobs/typescript-developer",False,Urlbox,urlbox.com,Urlbox,http://www.urlbox.com,http://www.linkedin.com/company/urlbox.io,,,2012.0,,"['screenshot', 'screenshots', 'api', 'developer api']",2.0,[],London,England,,,,,,"{'business_development': 1, 'accounting': 0, 'sales': 0, 'operations': 0, 'finance': 0, 'marketing': 0, 'human_resources': 0, 'information_technology': 0, 'legal': 0, 'engineering': 0, 'product_management': 0, 'consulting': 0, 'education': 0, 'administrative': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'entrepreneurship': 0, 'support': 0, 'data_science': 0}"
2024,February,Remote | Full-time |  https://stake.fish/en/,"We are building the infrastructure backbone of the blockchain ecosystem and paving the way to a decentralized future. f2pool supports PoW blockchains while stakefish support PoS networks.Our open positions:- DevOps: https://apply.workable.com/stakefish/j/8FC077923F/- Web3 / Full-stack: https://apply.workable.com/stakefish/j/5218ED958E/For any questions, reach out to jobs(at)stake(dot)fish",1407475249070707903,unknown,"remote | full-time |  https://stake.fish/en/
we are building the infrastructure backbone of the blockchain ecosystem and paving the way to a decentralized future. f2pool supports pow blockchains while stakefish support pos networks.our open positions:- devops: https://apply.workable.com/stakefish/j/8fc077923f/- web3 / full-stack: https://apply.workable.com/stakefish/j/5218ed958e/for any questions, reach out to jobs(at)stake(dot)fish",True,f2pool,workable.com,Treatwell,http://www.workable.com,http://www.linkedin.com/company/treatwell-com,https://twitter.com/Workable,https://facebook.com/WorkableHr,2008.0,,"['beauty', 'online marketplaces', 'online reservations', 'online bookings', 'health', 'wellness', 'hybrid marketplace', 'online marketing', 'ecommerce', 'technology']",820.0,"['online media', 'internet']",London,England,25000000.0,156280000.0,156.3M,2018-11-01T00:00:00.000+00:00,Series C,"{'product_management': 10, 'consulting': 6, 'sales': 212, 'engineering': 90, 'support': 42, 'business_development': 36, 'media_and_commmunication': 9, 'human_resources': 19, 'accounting': 6, 'finance': 17, 'operations': 37, 'marketing': 14, 'arts_and_design': 7, 'information_technology': 12, 'legal': 3, 'education': 1, 'data_science': 9, 'administrative': 2, 'entrepreneurship': 0}"
2024,February,London or New York | Full-time | ONSITE |  https://quadrature.ai/,"Quadrature is a systematic trading company, in the business of building fully automated trading systems across the global financial markets since its founding in 2010.

We're a very tech and research focused org, and are quite different from a lot of other players in the market (more like a tech-driven research institute than a traditional trading firm -- see https://quadrature.ai for the details).We're looking for a skilled engineer to optimise the use of GPUs for our AI workloads, for both our model training and inference environments. This is a great opportunity to work with a group of world-class researchers and developers, building out large-scale algorithmic trading systems using cutting-edge tech (advanced ML, thousands of GPUs, multiple global research data centres and trading co-location sites, petabytes of storage, innovation-lab R&D work with strategic partners). It'll be based out of either London or New York.Responsibilities:- Leading performance optimisation effort for mission-critical end-to-end AI workloads (e.g. profiling and tuning GPU programs, writing custom CUDA kernels, speeding up pre- and post-processing).- Rewriting core parts of our model architectures for maximum performance.- Building a runtime environment that maximises the model capacity and speed.To learn more about what we can offer have a look at https://quadrature.ai/careers/benefitsFeel free to email me directly via labeed@quadrature.ai",6950018311120129833,europe,"london or new york | full-time | onsite |  https://quadrature.ai/
quadrature is a systematic trading company, in the business of building fully automated trading systems across the global financial markets since its founding in 2010.

we're a very tech and research focused org, and are quite different from a lot of other players in the market (more like a tech-driven research institute than a traditional trading firm -- see https://quadrature.ai for the details).we're looking for a skilled engineer to optimise the use of gpus for our ai workloads, for both our model training and inference environments. this is a great opportunity to work with a group of world-class researchers and developers, building out large-scale algorithmic trading systems using cutting-edge tech (advanced ml, thousands of gpus, multiple global research data centres and trading co-location sites, petabytes of storage, innovation-lab r&d work with strategic partners). it'll be based out of either london or new york.responsibilities:- leading performance optimisation effort for mission-critical end-to-end ai workloads (e.g. profiling and tuning gpu programs, writing custom cuda kernels, speeding up pre- and post-processing).- rewriting core parts of our model architectures for maximum performance.- building a runtime environment that maximises the model capacity and speed.to learn more about what we can offer have a look at https://quadrature.ai/careers/benefitsfeel free to email me directly via labeed@quadrature.ai",False,Quadrature,quadrature.ai,"Wise Rock, Inc.",http://www.wiserocksoftware.com,http://www.linkedin.com/company/wise-rock,,,2018.0,,"['petroleum engineering', 'production optimization', 'frac interference reduction', 'exception based surveillance', 'spotfire development', 'analytics consulting']",15.0,['oil & energy'],Hedwig Village,Texas,,,,,,"{'engineering': 5, 'education': 2, 'operations': 2, 'support': 2, 'consulting': 1, 'entrepreneurship': 1, 'human_resources': 1, 'accounting': 0, 'sales': 0, 'finance': 0, 'marketing': 0, 'information_technology': 0, 'legal': 0, 'business_development': 0, 'product_management': 0, 'administrative': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'data_science': 0}"
2024,February,Multiple Roles | Remote | Full-time |  https://chainlinklabs.com,"All roles with Chainlink Labs are globally remote based. We encourage you to apply regardless of your location.Over 45+ roles available including:Product Manager ⬢ Engineering Manager ⬢ Technical Program Manager ⬢ Full Stack Engineer ⬢ SRE ⬢ DevOps Engineer—If you are interested, please fill out this brief form here:

https://forms.gle/ELS3mr46fYZkyDQ79—Our PrinciplesAt Chainlink Labs, we’re committed to the key operating principles of ownership, focus, and open dialogue. We practice complete ownership, where everyone goes the extra mile to own outcomes into success. We understand that unflinching focus is a superpower and is how we channel our activity into technological achievements for the benefit of our entire ecosystem. We embrace open dialogue and critical feedback to arrive at an accurate and truthful picture of reality that promotes both personal and organizational growth.These roles are location agnostic anywhere in the world, but we ask that you overlap some working hours with Eastern Standard Time (EST).We are a fully distributed team and have the tools and benefits to support you in your remote work environment.",-3172149466562135201,unknown,"multiple roles | remote | full-time |  https://chainlinklabs.com
all roles with chainlink labs are globally remote based. we encourage you to apply regardless of your location.over 45+ roles available including:product manager ⬢ engineering manager ⬢ technical program manager ⬢ full stack engineer ⬢ sre ⬢ devops engineer—if you are interested, please fill out this brief form here:

https://forms.gle/els3mr46fyzkydq79—our principlesat chainlink labs, we’re committed to the key operating principles of ownership, focus, and open dialogue. we practice complete ownership, where everyone goes the extra mile to own outcomes into success. we understand that unflinching focus is a superpower and is how we channel our activity into technological achievements for the benefit of our entire ecosystem. we embrace open dialogue and critical feedback to arrive at an accurate and truthful picture of reality that promotes both personal and organizational growth.these roles are location agnostic anywhere in the world, but we ask that you overlap some working hours with eastern standard time (est).we are a fully distributed team and have the tools and benefits to support you in your remote work environment.",True,Chainlink Labs,chainlinklabs.com,OpenRent,http://www.openrent.co.uk,http://www.linkedin.com/company/openrent,https://twitter.com/openrent,https://www.facebook.com/OpenRent,2012.0,,"['real estate', 'rental housing', 'property management', 'online rental', 'enterprise software', 'consumer internet', 'software', 'internet', 'information technology']",46.0,['real estate'],London,England,4200000.0,14931185.0,14.9M,2019-01-24T00:00:00.000+00:00,Venture (Round not Specified),"{'human_resources': 1, 'entrepreneurship': 2, 'engineering': 16, 'business_development': 1, 'operations': 2, 'legal': 1, 'support': 1, 'accounting': 0, 'sales': 0, 'finance': 0, 'marketing': 0, 'information_technology': 0, 'product_management': 0, 'consulting': 0, 'education': 0, 'administrative': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'data_science': 0}"
2024,February,"iOS, TypeScript & Rust | Full time | £70-110k + meaningful equity | Hybrid, Onsite | London, UK |  https://packfleet.com/","Packfleet is a fast growing delivery startup based in London, founded by early employees of Monzo. We're out to make fully electric next-day deliveries the new normal, while improving every aspect of the delivery experience using modern tech.We're a tech company and own our delivery technology end to end. That means we have lots of interesting product areas we're looking to develop further:- Driver & warehouse apps- Routing & optimization- Tooling for live operations- Tooling for merchants- Public API and integrations- Recipient app for tracking deliveries and more!Roles currently available:- Senior iOS engineer | https://apply.workable.com/packfleet/j/A95FEF8073/- Senior product engineer | https://apply.workable.com/packfleet/j/09BC8EBB9B/Apply at https://apply.workable.com/packfleet/ or email me on rico at packfleet.com.",3078936151653470816,europe,"ios, typescript & rust | full time | £70-110k + meaningful equity | hybrid, onsite | london, uk |  https://packfleet.com/
packfleet is a fast growing delivery startup based in london, founded by early employees of monzo. we're out to make fully electric next-day deliveries the new normal, while improving every aspect of the delivery experience using modern tech.we're a tech company and own our delivery technology end to end. that means we have lots of interesting product areas we're looking to develop further:- driver & warehouse apps- routing & optimization- tooling for live operations- tooling for merchants- public api and integrations- recipient app for tracking deliveries and more!roles currently available:- senior ios engineer | https://apply.workable.com/packfleet/j/a95fef8073/- senior product engineer | https://apply.workable.com/packfleet/j/09bc8ebb9b/apply at https://apply.workable.com/packfleet/ or email me on rico at packfleet.com.",False,Packfleet,packfleet.com,CodeWeavers,http://www.codeweavers.com,http://www.linkedin.com/company/codeweavers,https://www.twitter.com/codeweavers,https://www.facebook.com/codeweavers,1996.0,,"['open source', 'chrome os', 'macos', 'linux', 'gaming', 'consulting', 'wine development', 'software', 'porting', 'crossplatform applications', 'developers', 'coding']",50.0,"['information technology & services', 'computer software']",Saint Paul,Minnesota,4567000.0,,,,,"{'information_technology': 3, 'operations': 2, 'business_development': 1, 'product_management': 1, 'engineering': 19, 'support': 3, 'finance': 1, 'marketing': 1, 'entrepreneurship': 1, 'accounting': 0, 'sales': 0, 'human_resources': 0, 'legal': 0, 'consulting': 0, 'education': 0, 'administrative': 0, 'media_and_commmunication': 0, 'arts_and_design': 0, 'data_science': 0}"
